function,supported,frequency
\leftrightarrows,false,0
\leftrightsquigarrow,false,0
\leftroot,false,0
\leftthreetimes,false,0
\leqalignno,false,0
\leqq,false,0
\leqslant,false,0
\lessapprox,false,0
\lessdot,false,0
\lesseqgtr,false,0
\lesseqqgtr,false,0
\lessgtr,false,0
\lesssim,false,0
\let,false,0
\lgroup,false,0
\lhd,false,0
\liminf,false,0
\limsup,false,0
\ll,false,0
\llap,false,0
\llbracket,false,0
\llcorner,false,0
\Lleftarrow,false,0
\lll,false,0
\llless,false,0
\lmoustache,false,0
\lnapprox,false,0
\lneq,false,0
\lneqq,false,0
\lnot,false,0
\lnsim,false,0
\long,false,0
\Longleftarrow,false,0
\longleftarrow,false,0
\longmapsto,false,0
\looparrowleft,false,0
\looparrowright,false,0
\lor,false,0
\lower,false,0
\lozenge,false,0
\lparen,false,0
\Lrarr,false,0
\lrArr,false,0
\lrarr,false,0
\lrcorner,false,0
\lq,false,0
\Lsh,false,0
\lt,false,0
\ltimes,false,0
\lVert,false,0
\lvertneqq,false,0
\maltese,false,0
\mapsto,false,0
\mathbin,false,0
\mathchoice,false,0
\mathclap,false,0
\mathclose,false,0
\mathellipsis,false,0
\mathfrak,false,0
\mathinner,false,0
\mathit,false,0
\mathllap,false,0
\mathnormal,false,0
\mathop,false,0
\mathopen,false,0
\mathord,false,0
\mathpunct,false,0
\mathrel,false,0
\mathrlap,false,0
\mathring,false,0
\mathscr,false,0
\mathsf,false,0
\mathsterling,false,0
\mathstrut,false,0
\mathtip,false,0
\mathtt,false,0
\matrix,false,0
\mbox,false,0
\md,false,0
\mdseries,false,0
\measuredangle,false,0
\medspace,false,0
\mho,false,0
\middle,false,0
\mkern,false,0
\mmlToken,false,0
\mod,false,0
\models,false,0
\moveleft,false,0
\moveright,false,0
\mp,false,0
\mskip,false,0
\mspace,false,0
\Mu,false,0
\multicolumn,false,0
{multiline},false,0
\multimap,false,0
\nabla,false,0
\natnums,false,0
\natural,false,0
\negmedspace,false,0
\ncong,false,0
\nearrow,false,0
\negthickspace,false,0
\negthinspace,false,0
\newcommand,false,0
\newenvironment,false,0
\Newextarrow,false,0
\ngeq,false,0
\ngeqq,false,0
\ngeqslant,false,0
\ngtr,false,0
\ni,false,0
\nleftarrow,false,0
\nLeftarrow,false,0
\nLeftrightarrow,false,0
\nleftrightarrow,false,0
\nleq,false,0
\nleqq,false,0
\nleqslant,false,0
\nmid,false,0
\nobreak,false,0
\nobreakspace,false,0
\noexpand,false,0
\nolimits,false,0
\normalfont,false,0
\normalsize,false,0
\notag,false,0
\notni,false,0
\nparallel,false,0
\nprec,false,0
\npreceq,false,0
\nRightarrow,false,0
\nrightarrow,false,0
\nshortmid,false,0
\nshortparallel,false,0
\nsim,false,0
\nsubseteqq,false,0
\nsucc,false,0
\nsucceq,false,0
\nsupseteq,false,0
\nsupseteqq,false,0
\ntriangleleft,false,0
\ntrianglelefteq,false,0
\ntriangleright,false,0
\ntrianglerighteq,false,0
\Nu,false,0
\nu,false,0
\nVDash,false,0
\nVdash,false,0
\nvDash,false,0
\nvdash,false,0
\nwarrow,false,0
\O,false,0
\o,false,0
\odot,false,0
\OE,false,0
\oe,false,0
\officialeuro,false,0
\oiiint,false,0
\oiint,false,0
\oint,false,0
\oldstyle,false,0
\Omicron,false,0
\omicron,false,0
\ominus,false,0
\oplus,false,0
\or,false,0
\oslash,false,0
\otimes,false,0
\over,false,0
\overbrace,false,0
\overbracket,false,0
\overgroup,false,0
\overleftharpoon,false,0
\overleftrightarrow,false,0
\overlinesegment,false,0
\overparen,false,0
\Overrightarrow,false,0
\overrightharpoon,false,0
\overwithdelims,false,0
\owns,false,0
\pagecolor,false,0
\parallel,false,0
\part,false,0
\perp,false,0
\phantom,false,0
\phase,false,0
\Pi,false,0
{picture},false,0
\pitchfork,false,0
\plim,false,0
\plusmn,false,0
\pmatrix,false,0
{pmatrix},false,0
\pmb,false,0
\pmod,false,0
\pod,false,0
\pounds,false,0
\Pr,false,0
\prec,false,0
\precapprox,false,0
\preccurlyeq,false,0
\preceq,false,0
\precnapprox,false,0
\precneqq,false,0
\precnsim,false,0
\precsim,false,0
\projlim,false,0
\propto,false,0
\providecommand,false,0
\psi,false,0
\Psi,false,0
\pu,false,0
\raise,false,0
\raisebox,false,0
\rang,false,0
\Rarr,false,0
\rArr,false,0
\rarr,false,0
\rBrace,false,0
\rbrace,false,0
\rbrack,false,0
{rcases},false,0
\real,false,0
\Reals,false,0
\reals,false,0
\ref,false,0
\relax,false,0
\renewcommand,false,0
\renewenvironment,false,0
\require,false,0
\restriction,false,0
\rgroup,false,0
\rhd,false,0
\Rho,false,0
\rightarrowtail,false,0
\rightharpoondown,false,0
\rightleftarrows,false,0
\rightrightarrows,false,0
\rightsquigarrow,false,0
\rightthreetimes,false,0
\risingdotseq,false,0
\rlap,false,0
\rmoustache,false,0
\root,false,0
\rotatebox,false,0
\rparen,false,0
\rq,false,0
\rrbracket,false,0
\Rrightarrow,false,0
\Rsh,false,0
\rtimes,false,0
\Rule,false,0
\rule,false,0
\rVert,false,0
\Sampi,false,0
\sampi,false,0
\sc,false,0
\scalebox,false,0
\scr,false,0
\scriptscriptstyle,false,0
\sdot,false,0
\searrow,false,0
\sec,false,0
\sect,false,0
\setlength,false,0
\sf,false,0
\sharp,false,0
\shortmid,false,0
\shortparallel,false,0
\shoveleft,false,0
\shoveright,false,0
\sideset,false,0
\Sigma,false,0
\simeq,false,0
\sinh,false,0
\sixptsize,false,0
\sh,false,0
\skew,false,0
\skip,false,0
\sl,false,0
\smallfrown,false,0
\smallint,false,0
{smallmatrix},false,0
\smallsetminus,false,0
\smallsmile,false,0
\smash,false,0
\smile,false,0
\smiley,false,0
\sout,false,0
\Space,false,0
\space,false,0
\spades,false,0
\spadesuit,false,0
\sphericalangle,false,0
{split},false,0
\sqcap,false,0
\sqcup,false,0
\square,false,0
\sqsubset,false,0
\sqsupset,false,0
\sqsupseteq,false,0
\Stigma,false,0
\stigma,false,0
\strut,false,0
\style,false,0
\sub,false,0
{subarray},false,0
\sube,false,0
\Subset,false,0
\subseteqq,false,0
\subsetneq,false,0
\subsetneqq,false,0
\substack,false,0
\succ,false,0
\succapprox,false,0
\succcurlyeq,false,0
\succnapprox,false,0
\succneqq,false,0
\succnsim,false,0
\succsim,false,0
\sup,false,0
\supe,false,0
\Supset,false,0
\supseteqq,false,0
\supsetneq,false,0
\supsetneqq,false,0
\surd,false,0
\swarrow,false,0
\tag,false,0
\tag,false,0
\tanh,false,0
\Tau,false,0
\tbinom,false,0
\TeX,false,0
\textasciitilde,false,0
\textasciicircum,false,0
\textbackslash,false,0
\textbar,false,0
\textbardbl,false,0
\textbraceleft,false,0
\textbraceright,false,0
\textcircled,false,0
\textdagger,false,0
\textdaggerdbl,false,0
\textdegree,false,0
\textdollar,false,0
\textellipsis,false,0
\textemdash,false,0
\textendash,false,0
\textgreater,false,0
\textless,false,0
\textmd,false,0
\textnormal,false,0
\textquotedblleft,false,0
\textquotedblright,false,0
\textquoteleft,false,0
\textquoteright,false,0
\textregistered,false,0
\textsc,false,0
\textsf,false,0
\textsl,false,0
\textsterling,false,0
\textstyle,false,0
\texttip,false,0
\texttt,false,0
\textunderscore,false,0
\textvisiblespace,false,0
\tg,false,0
\th,false,0
\therefore,false,0
\thetasym,false,0
\thicksim,false,0
\thickspace,false,0
\thinspace,false,0
\Tiny,false,0
\tiny,false,0
\toggle,false,0
\top,false,0
\triangledown,false,0
\triangleleft,false,0
\trianglelefteq,false,0
\triangleq,false,0
\triangleright,false,0
\trianglerighteq,false,0
\tt,false,0
\twoheadleftarrow,false,0
\twoheadrightarrow,false,0
\Uarr,false,0
\uArr,false,0
\uarr,false,0
\ulcorner,false,0
\underbrace,false,0
\underbracket,false,0
\undergroup,false,0
\underleftarrow,false,0
\underleftrightarrow,false,0
\underlinesegment,false,0
\underparen,false,0
\unicode,false,0
\unlhd,false,0
\unrhd,false,0
\up,false,0
\Uparrow,false,0
\Updownarrow,false,0
\updownarrow,false,0
\upharpoonleft,false,0
\upharpoonright,false,0
\uplus,false,0
\uproot,false,0
\upshape,false,0
\Upsilon,false,0
\upsilon,false,0
\upuparrows,false,0
\urcorner,false,0
\url,false,0
\utilde,false,0
\varcoppa,false,0
\varDelta,false,0
\varGamma,false,0
\varinjlim,false,0
\varkappa,false,0
\varLambda,false,0
\varliminf,false,0
\varlimsup,false,0
\varOmega,false,0
\varPhi,false,0
\varPi,false,0
\varpi,false,0
\varprojlim,false,0
\varpropto,false,0
\varPsi,false,0
\varPsi,false,0
\varrho,false,0
\varSigma,false,0
\varsigma,false,0
\varstigma,false,0
\varsubsetneq,false,0
\varsubsetneqq,false,0
\varsupsetneq,false,0
\varsupsetneqq,false,0
\varTheta,false,0
\vartheta,false,0
\vartriangle,false,0
\vartriangleleft,false,0
\vartriangleright,false,0
\varUpsilon,false,0
\varXi,false,0
\vcentcolon,false,0
\vcenter,false,0
\Vdash,false,0
\vDash,false,0
\vdash,false,0
\vdots,false,0
\veebar,false,0
\verb,false,0
\Vert,false,0
\vfil,false,0
\vfill,false,0
\vline,false,0
{Vmatrix},false,0
{vmatrix},false,0
\vphantom,false,0
\Vvdash,false,0
\weierp,false,0
\widecheck,false,0
\widehat,false,0
\wideparen,false,0
\widetilde,false,0
\wp,false,0
\wr,false,0
\xcancel,false,0
\xdef,false,0
\Xi,false,0
\xi,false,0
\xhookleftarrow,false,0
\xhookrightarrow,false,0
\xLeftarrow,false,0
\xleftarrow,false,0
\xleftharpoondown,false,0
\xleftharpoonup,false,0
\xleftrightarrow,false,0
\xleftrightharpoons,false,0
\xlongequal,false,0
\xmapsto,false,0
\xRightarrow,false,0
\xrightharpoondown,false,0
\xrightharpoonup,false,0
\xtofrom,false,0
\xtwoheadleftarrow,false,0
\xtwoheadrightarrow,false,0
\yen,false,0
\Zeta,false,0
